Variety Target,(All),,,
Region,(All),,,
,,,,
,Values,Stock Location,,
,Sum of Variety Target,Sum of Valid SKU,,
Assortment Group,P385,P385,Allocated,New VT
W_HONEY CURVE_TOP WOVENS,0,0,0,0
W_HONEY_BOTTOM_CASUAL_PANTS,0,0,0,0
W_HONEY_BOTTOM_CULOTTES,0,0,0,0
W_HONEY_BOTTOM_GLAM,0,0,0,0
W_HONEY_BOTTOM_JOGGERS,0,0,0,0
W_HONEY_BOTTOM_LONG,16,1,16,0
W_HONEY_BOTTOM_SHORT,0,0,0,0
W_HONEY_CORE PLUS_T SHIRT,24,0,0,24
W_HONEY_CORE PLUS_WW_TOP,0,0,0,0
W_HONEY_DRESS,14,1,13,1
W_HONEY_DRESS_GLAM,0,0,0,0
W_HONEY_DRESS_LONG,0,0,0,0
W_HONEY_DRESS_LONG_GLAM,0,0,0,0
W_HONEY_DRESS_SHORT,0,0,0,0
W_HONEY_DRESS_SHORT_GLAM,0,0,0,0
W_HONEY_FFB_T SHIRT,0,0,0,0
W_HONEY_JACKETS,0,0,0,0
W_HONEY_LIC_BOTTOMS,0,0,0,0
W_HONEY_LIC_SWEATSHIRT,0,0,0,0
W_HONEY_LIC_TOP,8,0,8,0
W_HONEY_SHIRT,0,0,0,0
W_HONEY_SHRUG,0,0,0,0
W_HONEY_TOP,0,0,0,0
W_HONEY_TOP_BASIC,12,1,9,3
W_HONEY_TOP_FASHION,12,1,12,0
W_HONEY_TOP_GLAM,0,0,0,0
W_HONEY_TOP_KNIT,4,0,2,2
W_HONEY_TUNIC,0,0,0,0
W_HONEY_WW_CARDIGAN,0,0,0,0
W_HONEY_WW_FLAT KNIT,2,0,0,2
W_HONEY_WW_FLAT KNIT_CP,0,0,0,0
W_HONEY_WW_JACKET,0,0,0,0
W_HONEY_WW_LIC_BOTTOMS,0,0,0,0
W_HONEY_WW_LIC_SWEATER,0,0,0,0
W_HONEY_WW_LIC_SWEATSHIRT,0,0,0,0
W_HONEY_WW_SWEATER,0,0,0,0
W_HONEY_WW_SWEATSHIRT,8,0,0,8
W_HONEY_WW_SWEATSHIRT_CP,0,0,0,0
W_SF JEANS_BOTTOM_SHORTS,2,0,0,2
W_SF JEANS_BOTTOM_SKIRTS,0,0,0,0
W_SF JEANS_DENIM_F,12,0,0,12
W_SF JEANS_DENIM_FB,4,0,0,4
W_SF JEANS_DRESS,0,0,0,0
W_SF JEANS_JACKET,2,0,0,2
W_SF JEANS_TOP_KNIT,10,0,0,10
W_SF JEANS_TOP_SHORTS,0,0,0,0
W_SF JEANS_TOP_SKIRTS,0,0,0,0
W_SF JEANS_TOP_WOVEN,10,0,0,10
W_SF JEANS_WW_FLAT KNIT,2,0,0,2
W_SFJEANS_TOP_KNIT,0,0,0,0
Grand Total,465,13,268,197
